date, pm25, pm10, o3, no2, so2, co
2021/9/14, 26, 12, 19, 16, 9, 5
2021/9/15, 19, 16, 19, 19, 9, 7
2021/9/16, 25, 9, 20, 15, 9, 6
2021/9/17, 14, 12, 19, 14, 10, 4
2021/9/18, 19, 12, 20, 11, 9, 3
2021/9/19, 19, 19, 33, 15, 10, 4
2021/9/20, 31, 24, 29, 20, 11, 7
2021/9/21, 38, 19, 19, 21, 12, 6
2021/9/22, 29, 17, 26, 21, 11, 6
2021/9/23, 28, 15, 17, 14, 10, 4
2021/9/24, 25, 11, 18, 15, 9, 6
2021/9/25, 19, 15, 21, 14, 9, 5
2021/9/26, 27, 14, 34, 19, 9, 7
2021/9/27, 22, 23, 37, 19, 10, 6
2021/9/28, 36, 27, 56, 22, 11, 7
2021/9/29, 44, 23, 48, 21, 11, 7
2021/9/30, 37, 20, 20, 21, 11, 8
2021/4/1, 54, 28, 16, 15, 7, 12
2021/4/2, 44, 34, 16, 15, 8, 11
2021/4/3, 53, 43, 16, 16, 8, 11
2021/4/4, 66, 41, 9, 16, 8, 14
2021/4/5, 63, 44, 22, 16, 8, 10
2021/4/6, 70, 31, 20, 16, 7, 9
2021/4/7, 44, 32, 18, 15, 8, 10
2021/4/8, 44, 30, 10, 15, 8, 7
2021/4/9, 46, 43, 9, 14, 8, 9
2021/4/10, 77, 44, 13, 15, 8, 10
2021/4/11, 78, 28, 16, 14, 8, 5
2021/4/12, 37, 23, 18, 15, 8, 7
2021/4/13, 33, 24, 18, 14, 8, 7
2021/4/14, 33, 24, 21, 14, 8, 8
2021/4/15, 35, 26, 21, 14, 8, 8
2021/4/16, 36, 20, 18, 14, 7, 6
2021/4/17, 33, 35, 9, 15, 9, 9
2021/4/18, 57, 27, 16, 15, 8, 8
2021/4/19, 41, 21, 22, 14, 8, 5
2021/4/20, 28, 22, 24, 13, 7, 4
2021/4/21, 29, 24, 25, 14, 8, 6
2021/4/22, 31, 23, 24, 14, 8, 6
2021/4/23, 32, 27, 24, 14, 8, 5
2021/4/24, 39, 32, 26, 15, 8, 9
2021/4/25, 54, 27, 22, 16, 8, 9
2021/4/26, 48, 22, 10, 16, 10, 9
2021/4/27, 32, 22, 16, 15, 9, 6
2021/4/28, 36, 15, 38, 16, 9, 5
2021/4/29, 19, , , , , 
2021/5/4, 24, 18, 25, 16, 8, 7
2021/5/5, 29, 30, 24, 16, 8, 7
2021/5/6, 40, 27, 22, 15, 8, 6
2021/5/7, 39, 25, 21, 14, 8, 5
2021/5/8, 33, 20, 23, 14, 8, 4
2021/5/9, 28, 23, 25, 14, 8, 4
2021/5/10, 34, 25, 32, 15, 8, 7
2021/5/11, 36, 23, 25, 15, 8, 6
2021/5/12, 32, 23, 26, 15, 8, 5
2021/5/13, 36, 16, 24, 15, 8, 4
2021/5/14, 24, 17, 25, 13, 8, 3
2021/5/15, 24, 20, 31, 13, 8, 4
2021/5/16, 29, 16, 31, 13, 8, 4
